id,work_year,experience_level,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size,employment_type
0,2020,MI,Data Scientist,70000,EUR,79833,DE,0,DE,L,FT
1,2020,SE,Machine Learning Scientist,260000,USD,260000,JP,0,JP,S,FT
2,2020,SE,Big Data Engineer,85000,GBP,109024,GB,50,GB,M,FT
3,2020,MI,Product Data Analyst,20000,USD,20000,HN,0,HN,S,FT
4,2020,SE,Machine Learning Engineer,150000,USD,150000,US,50,US,L,FT
5,2020,EN,Data Analyst,72000,USD,72000,US,100,US,L,FT
6,2020,SE,Lead Data Scientist,190000,USD,190000,US,100,US,S,FT
7,2020,MI,Data Scientist,11000000,HUF,35735,HU,50,HU,L,FT
8,2020,MI,Business Data Analyst,135000,USD,135000,US,100,US,L,FT
9,2020,SE,Lead Data Engineer,125000,USD,125000,NZ,50,NZ,S,FT
10,2020,EN,Data Scientist,45000,EUR,51321,FR,0,FR,S,FT
11,2020,MI,Data Scientist,3000000,INR,40481,IN,0,IN,L,FT
12,2020,EN,Data Scientist,35000,EUR,39916,FR,0,FR,M,FT
13,2020,MI,Lead Data Analyst,87000,USD,87000,US,100,US,L,FT
14,2020,MI,Data Analyst,85000,USD,85000,US,100,US,L,FT
15,2020,MI,Data Analyst,8000,USD,8000,PK,50,PK,L,FT
16,2020,EN,Data Engineer,4450000,JPY,41689,JP,100,JP,S,FT
17,2020,SE,Big Data Engineer,100000,EUR,114047,PL,100,GB,S,FT
18,2020,EN,Data Science Consultant,423000,INR,5707,IN,50,IN,M,FT
19,2020,MI,Lead Data Engineer,56000,USD,56000,PT,100,US,M,FT
20,2020,MI,Machine Learning Engineer,299000,CNY,43331,CN,0,CN,M,FT
21,2020,MI,Product Data Analyst,450000,INR,6072,IN,100,IN,L,FT
22,2020,SE,Data Engineer,42000,EUR,47899,GR,50,GR,L,FT
23,2020,MI,BI Data Analyst,98000,USD,98000,US,0,US,M,FT
24,2020,MI,Lead Data Scientist,115000,USD,115000,AE,0,AE,L,FT
25,2020,EX,Director of Data Science,325000,USD,325000,US,100,US,L,FT
26,2020,EN,Research Scientist,42000,USD,42000,NL,50,NL,L,FT
27,2020,SE,Data Engineer,720000,MXN,33511,MX,0,MX,S,FT
28,2020,EN,Business Data Analyst,100000,USD,100000,US,100,US,L,CT
29,2020,SE,Machine Learning Manager,157000,CAD,117104,CA,50,CA,L,FT
30,2020,MI,Data Engineering Manager,51999,EUR,59303,DE,100,DE,S,FT
31,2020,EN,Big Data Engineer,70000,USD,70000,US,100,US,L,FT
32,2020,SE,Data Scientist,60000,EUR,68428,GR,100,US,L,FT
33,2020,MI,Research Scientist,450000,USD,450000,US,0,US,M,FT
34,2020,MI,Data Analyst,41000,EUR,46759,FR,50,FR,L,FT
35,2020,MI,Data Engineer,65000,EUR,74130,AT,50,AT,L,FT
36,2020,MI,Data Science Consultant,103000,USD,103000,US,100,US,L,FT
37,2020,EN,Machine Learning Engineer,250000,USD,250000,US,50,US,L,FT
38,2020,EN,Data Analyst,10000,USD,10000,NG,100,NG,S,FT
39,2020,EN,Machine Learning Engineer,138000,USD,138000,US,100,US,S,FT
40,2020,MI,Data Scientist,45760,USD,45760,PH,100,US,S,FT
41,2020,EX,Data Engineering Manager,70000,EUR,79833,ES,50,ES,L,FT
42,2020,MI,Machine Learning Infrastructure Engineer,44000,EUR,50180,PT,0,PT,M,FT
43,2020,MI,Data Engineer,106000,USD,106000,US,100,US,L,FT
44,2020,MI,Data Engineer,88000,GBP,112872,GB,50,GB,L,FT
45,2020,EN,ML Engineer,14000,EUR,15966,DE,100,DE,S,PT
46,2020,MI,Data Scientist,60000,GBP,76958,GB,100,GB,S,FT
47,2020,SE,Data Engineer,188000,USD,188000,US,100,US,L,FT
48,2020,MI,Data Scientist,105000,USD,105000,US,100,US,L,FT
49,2020,MI,Data Engineer,61500,EUR,70139,FR,50,FR,L,FT
50,2020,EN,Data Analyst,450000,INR,6072,IN,0,IN,S,FT
51,2020,EN,Data Analyst,91000,USD,91000,US,100,US,L,FT
52,2020,EN,AI Scientist,300000,DKK,45896,DK,50,DK,S,FT
53,2020,EN,Data Engineer,48000,EUR,54742,PK,100,DE,L,FT
54,2020,SE,Computer Vision Engineer,60000,USD,60000,RU,100,US,S,FL
55,2020,SE,Principal Data Scientist,130000,EUR,148261,DE,100,DE,M,FT
56,2020,MI,Data Scientist,34000,EUR,38776,ES,100,ES,M,FT
57,2020,MI,Data Scientist,118000,USD,118000,US,100,US,M,FT
58,2020,SE,Data Scientist,120000,USD,120000,US,50,US,L,FT
59,2020,MI,Data Scientist,138350,USD,138350,US,100,US,M,FT
60,2020,MI,Data Engineer,110000,USD,110000,US,100,US,L,FT
61,2020,MI,Data Engineer,130800,USD,130800,ES,100,US,M,FT
62,2020,EN,Data Scientist,19000,EUR,21669,IT,50,IT,S,PT
63,2020,SE,Data Scientist,412000,USD,412000,US,100,US,L,FT
64,2020,SE,Machine Learning Engineer,40000,EUR,45618,HR,100,HR,S,FT
65,2020,EN,Data Scientist,55000,EUR,62726,DE,50,DE,S,FT
66,2020,EN,Data Scientist,43200,EUR,49268,DE,0,DE,S,FT
67,2020,SE,Data Science Manager,190200,USD,190200,US,100,US,M,FT
68,2020,EN,Data Scientist,105000,USD,105000,US,100,US,S,FT
69,2020,SE,Data Scientist,80000,EUR,91237,AT,0,AT,S,FT
70,2020,MI,Data Scientist,55000,EUR,62726,FR,50,LU,S,FT
71,2020,MI,Data Scientist,37000,EUR,42197,FR,50,FR,S,FT
72,2021,EN,Research Scientist,60000,GBP,82528,GB,50,GB,L,FT
73,2021,EX,BI Data Analyst,150000,USD,150000,IN,100,US,L,FT
74,2021,EX,Head of Data,235000,USD,235000,US,100,US,L,FT
75,2021,SE,Data Scientist,45000,EUR,53192,FR,50,FR,L,FT
76,2021,MI,BI Data Analyst,100000,USD,100000,US,100,US,M,FT
77,2021,MI,3D Computer Vision Researcher,400000,INR,5409,IN,50,IN,M,PT
78,2021,MI,ML Engineer,270000,USD,270000,US,100,US,L,CT
79,2021,EN,Data Analyst,80000,USD,80000,US,100,US,M,FT
80,2021,SE,Data Analytics Engineer,67000,EUR,79197,DE,100,DE,L,FT
81,2021,MI,Data Engineer,140000,USD,140000,US,100,US,L,FT
82,2021,MI,Applied Data Scientist,68000,CAD,54238,GB,50,CA,L,FT
83,2021,MI,Machine Learning Engineer,40000,EUR,47282,ES,100,ES,S,FT
84,2021,EX,Director of Data Science,130000,EUR,153667,IT,100,PL,L,FT
85,2021,MI,Data Engineer,110000,PLN,28476,PL,100,PL,L,FT
86,2021,EN,Data Analyst,50000,EUR,59102,FR,50,FR,M,FT
87,2021,MI,Data Analytics Engineer,110000,USD,110000,US,100,US,L,FT
88,2021,SE,Lead Data Analyst,170000,USD,170000,US,100,US,L,FT
89,2021,SE,Data Analyst,80000,USD,80000,BG,100,US,S,FT
90,2021,SE,Marketing Data Analyst,75000,EUR,88654,GR,100,DK,L,FT
91,2021,EN,Data Science Consultant,65000,EUR,76833,DE,100,DE,S,FT
92,2021,MI,Lead Data Analyst,1450000,INR,19609,IN,100,IN,L,FT
93,2021,SE,Lead Data Engineer,276000,USD,276000,US,0,US,L,FT
94,2021,EN,Data Scientist,2200000,INR,29751,IN,50,IN,L,FT
95,2021,MI,Cloud Data Engineer,120000,SGD,89294,SG,50,SG,L,FT
96,2021,EN,AI Scientist,12000,USD,12000,BR,100,US,S,PT
97,2021,MI,Financial Data Analyst,450000,USD,450000,US,100,US,L,FT
98,2021,EN,Computer Vision Software Engineer,70000,USD,70000,US,100,US,M,FT
99,2021,MI,Computer Vision Software Engineer,81000,EUR,95746,DE,100,US,S,FT
100,2021,MI,Data Analyst,75000,USD,75000,US,0,US,L,FT
101,2021,SE,Data Engineer,150000,USD,150000,US,100,US,L,FT
102,2021,MI,BI Data Analyst,11000000,HUF,36259,HU,50,US,L,FT
103,2021,MI,Data Analyst,62000,USD,62000,US,0,US,L,FT
104,2021,MI,Data Scientist,73000,USD,73000,US,0,US,L,FT
105,2021,MI,Data Analyst,37456,GBP,51519,GB,50,GB,L,FT
106,2021,MI,Research Scientist,235000,CAD,187442,CA,100,CA,L,FT
107,2021,SE,Data Engineer,115000,USD,115000,US,100,US,S,FT
108,2021,SE,Data Engineer,150000,USD,150000,US,100,US,M,FT
109,2021,EN,Data Engineer,2250000,INR,30428,IN,100,IN,L,FT
110,2021,SE,Machine Learning Engineer,80000,EUR,94564,DE,50,DE,L,FT
111,2021,SE,Director of Data Engineering,82500,GBP,113476,GB,100,GB,M,FT
112,2021,SE,Lead Data Engineer,75000,GBP,103160,GB,100,GB,S,FT
113,2021,EN,AI Scientist,12000,USD,12000,PK,100,US,M,PT
114,2021,MI,Data Engineer,38400,EUR,45391,NL,100,NL,L,FT
115,2021,EN,Machine Learning Scientist,225000,USD,225000,US,100,US,L,FT
116,2021,MI,Data Scientist,50000,USD,50000,NG,100,NG,L,FT
117,2021,MI,Data Science Engineer,34000,EUR,40189,GR,100,GR,M,FT
118,2021,EN,Data Analyst,90000,USD,90000,US,100,US,S,FT
119,2021,MI,Data Engineer,200000,USD,200000,US,100,US,L,FT
120,2021,MI,Big Data Engineer,60000,USD,60000,ES,50,RO,M,FT
121,2021,SE,Principal Data Engineer,200000,USD,200000,US,100,US,M,FT
122,2021,EN,Data Analyst,50000,USD,50000,US,100,US,M,FT
123,2021,EN,Applied Data Scientist,80000,GBP,110037,GB,0,GB,L,FT
124,2021,EN,Data Analyst,8760,EUR,10354,ES,50,ES,M,PT
125,2021,MI,Principal Data Scientist,151000,USD,151000,US,100,US,L,FT
126,2021,SE,Machine Learning Scientist,120000,USD,120000,US,50,US,S,FT
127,2021,MI,Data Scientist,700000,INR,9466,IN,0,IN,S,FT
