"","id","work_year","experience_level","job_title","salary","salary_currency","salary_in_usd","employee_residence","remote_ratio","company_location","company_size","employment_type"
"1",0,2020,"3","Data Scientist",70000,"EUR",79833,"DE",0,"DE","L","FT"
"2",1,2020,"4","Machine Learning Scientist",260000,"USD",260000,"JP",0,"JP","S","FT"
"3",2,2020,"4","Big Data Engineer",85000,"GBP",109024,"GB",50,"GB","M","FT"
"4",3,2020,"3","Product Data Analyst",20000,"USD",20000,"HN",0,"HN","S","FT"
"5",4,2020,"4","Machine Learning Engineer",150000,"USD",150000,"US",50,"US","L","FT"
"6",5,2020,"1","Data Analyst",72000,"USD",72000,"US",100,"US","L","FT"
"7",6,2020,"4","Lead Data Scientist",190000,"USD",190000,"US",100,"US","S","FT"
"8",7,2020,"3","Data Scientist",11000000,"HUF",35735,"HU",50,"HU","L","FT"
"9",8,2020,"3","Business Data Analyst",135000,"USD",135000,"US",100,"US","L","FT"
"10",9,2020,"4","Lead Data Engineer",125000,"USD",125000,"NZ",50,"NZ","S","FT"
"11",10,2020,"1","Data Scientist",45000,"EUR",51321,"FR",0,"FR","S","FT"
"12",11,2020,"3","Data Scientist",3000000,"INR",40481,"IN",0,"IN","L","FT"
"13",12,2020,"1","Data Scientist",35000,"EUR",39916,"FR",0,"FR","M","FT"
"14",13,2020,"3","Lead Data Analyst",87000,"USD",87000,"US",100,"US","L","FT"
"15",14,2020,"3","Data Analyst",85000,"USD",85000,"US",100,"US","L","FT"
"16",15,2020,"3","Data Analyst",8000,"USD",8000,"PK",50,"PK","L","FT"
"17",16,2020,"1","Data Engineer",4450000,"JPY",41689,"JP",100,"JP","S","FT"
"18",17,2020,"4","Big Data Engineer",100000,"EUR",114047,"PL",100,"GB","S","FT"
"19",18,2020,"1","Data Science Consultant",423000,"INR",5707,"IN",50,"IN","M","FT"
"20",19,2020,"3","Lead Data Engineer",56000,"USD",56000,"PT",100,"US","M","FT"
"21",20,2020,"3","Machine Learning Engineer",299000,"CNY",43331,"CN",0,"CN","M","FT"
"22",21,2020,"3","Product Data Analyst",450000,"INR",6072,"IN",100,"IN","L","FT"
"23",22,2020,"4","Data Engineer",42000,"EUR",47899,"GR",50,"GR","L","FT"
"24",23,2020,"3","BI Data Analyst",98000,"USD",98000,"US",0,"US","M","FT"
"25",24,2020,"3","Lead Data Scientist",115000,"USD",115000,"AE",0,"AE","L","FT"
"26",25,2020,"2","Director of Data Science",325000,"USD",325000,"US",100,"US","L","FT"
"27",26,2020,"1","Research Scientist",42000,"USD",42000,"NL",50,"NL","L","FT"
"28",27,2020,"4","Data Engineer",720000,"MXN",33511,"MX",0,"MX","S","FT"
"29",28,2020,"1","Business Data Analyst",100000,"USD",100000,"US",100,"US","L","CT"
"30",29,2020,"4","Machine Learning Manager",157000,"CAD",117104,"CA",50,"CA","L","FT"
"31",30,2020,"3","Data Engineering Manager",51999,"EUR",59303,"DE",100,"DE","S","FT"
"32",31,2020,"1","Big Data Engineer",70000,"USD",70000,"US",100,"US","L","FT"
"33",32,2020,"4","Data Scientist",60000,"EUR",68428,"GR",100,"US","L","FT"
"34",33,2020,"3","Research Scientist",450000,"USD",450000,"US",0,"US","M","FT"
"35",34,2020,"3","Data Analyst",41000,"EUR",46759,"FR",50,"FR","L","FT"
"36",35,2020,"3","Data Engineer",65000,"EUR",74130,"AT",50,"AT","L","FT"
"37",36,2020,"3","Data Science Consultant",103000,"USD",103000,"US",100,"US","L","FT"
"38",37,2020,"1","Machine Learning Engineer",250000,"USD",250000,"US",50,"US","L","FT"
"39",38,2020,"1","Data Analyst",10000,"USD",10000,"NG",100,"NG","S","FT"
"40",39,2020,"1","Machine Learning Engineer",138000,"USD",138000,"US",100,"US","S","FT"
"41",40,2020,"3","Data Scientist",45760,"USD",45760,"PH",100,"US","S","FT"
"42",41,2020,"2","Data Engineering Manager",70000,"EUR",79833,"ES",50,"ES","L","FT"
"43",42,2020,"3","Machine Learning Infrastructure Engineer",44000,"EUR",50180,"PT",0,"PT","M","FT"
"44",43,2020,"3","Data Engineer",106000,"USD",106000,"US",100,"US","L","FT"
"45",44,2020,"3","Data Engineer",88000,"GBP",112872,"GB",50,"GB","L","FT"
"46",45,2020,"1","ML Engineer",14000,"EUR",15966,"DE",100,"DE","S","PT"
"47",46,2020,"3","Data Scientist",60000,"GBP",76958,"GB",100,"GB","S","FT"
"48",47,2020,"4","Data Engineer",188000,"USD",188000,"US",100,"US","L","FT"
"49",48,2020,"3","Data Scientist",105000,"USD",105000,"US",100,"US","L","FT"
"50",49,2020,"3","Data Engineer",61500,"EUR",70139,"FR",50,"FR","L","FT"
"51",50,2020,"1","Data Analyst",450000,"INR",6072,"IN",0,"IN","S","FT"
"52",51,2020,"1","Data Analyst",91000,"USD",91000,"US",100,"US","L","FT"
"53",52,2020,"1","AI Scientist",300000,"DKK",45896,"DK",50,"DK","S","FT"
"54",53,2020,"1","Data Engineer",48000,"EUR",54742,"PK",100,"DE","L","FT"
"55",54,2020,"4","Computer Vision Engineer",60000,"USD",60000,"RU",100,"US","S","FL"
"56",55,2020,"4","Principal Data Scientist",130000,"EUR",148261,"DE",100,"DE","M","FT"
"57",56,2020,"3","Data Scientist",34000,"EUR",38776,"ES",100,"ES","M","FT"
"58",57,2020,"3","Data Scientist",118000,"USD",118000,"US",100,"US","M","FT"
"59",58,2020,"4","Data Scientist",120000,"USD",120000,"US",50,"US","L","FT"
"60",59,2020,"3","Data Scientist",138350,"USD",138350,"US",100,"US","M","FT"
"61",60,2020,"3","Data Engineer",110000,"USD",110000,"US",100,"US","L","FT"
"62",61,2020,"3","Data Engineer",130800,"USD",130800,"ES",100,"US","M","FT"
"63",62,2020,"1","Data Scientist",19000,"EUR",21669,"IT",50,"IT","S","PT"
"64",63,2020,"4","Data Scientist",412000,"USD",412000,"US",100,"US","L","FT"
"65",64,2020,"4","Machine Learning Engineer",40000,"EUR",45618,"HR",100,"HR","S","FT"
"66",65,2020,"1","Data Scientist",55000,"EUR",62726,"DE",50,"DE","S","FT"
"67",66,2020,"1","Data Scientist",43200,"EUR",49268,"DE",0,"DE","S","FT"
"68",67,2020,"4","Data Science Manager",190200,"USD",190200,"US",100,"US","M","FT"
"69",68,2020,"1","Data Scientist",105000,"USD",105000,"US",100,"US","S","FT"
